trial1,trial2,trial3
61.2201353255459,58.0246887195057,56.5840440019651
49.1973701034494,59.1973895895142,61.5946150774075
68.2935506173163,56.4264189645601,62.4807599489001
59.7960827768143,59.0800801586715,58.1643513034464
57.1543442880572,61.4249254419157,58.4977586356908
54.6742294803388,57.4509530805084,60.5928050514072
57.5775340039408,64.4902792342091,57.8744981950198
60.823583138925,60.8762693047653,58.7571909826612
64.0481732423308,58.6045136655233,58.2142369489896
57.2800465851779,59.4441258453813,61.9420290401379
58.3289301589927,60.5412579517501,61.3114352283925
60.1077971082569,61.6095870823932,59.0921549305736
61.3848680193772,58.79591289183,61.7020868843959
58.6663658108942,60.3166186048992,59.787753047508
67.7329498857386,58.5679815437847,59.0324910643954
